date,type,description
2008-09-06,WEEKEND,Saturday
2008-09-07,WEEKEND,Sunday
2008-09-13,WEEKEND,Saturday
2008-09-14,WEEKEND,Sunday
2008-09-20,WEEKEND,Saturday
2008-09-21,WEEKEND,Sunday
2008-09-27,WEEKEND,Saturday
2008-09-28,WEEKEND,Sunday
2008-10-04,WEEKEND,Saturday
2008-10-05,WEEKEND,Sunday
2008-10-11,WEEKEND,Saturday
2008-10-12,WEEKEND,Sunday
2008-10-18,WEEKEND,Saturday
2008-10-19,WEEKEND,Sunday
2008-10-25,WEEKEND,Saturday
2008-10-26,WEEKEND,Sunday
2008-11-01,WEEKEND,Saturday
2008-11-02,WEEKEND,Sunday
2008-11-08,WEEKEND,Saturday
2008-11-09,WEEKEND,Sunday
2008-11-15,WEEKEND,Saturday
2008-11-16,WEEKEND,Sunday
2008-11-22,WEEKEND,Saturday
2008-11-23,WEEKEND,Sunday
2008-11-27,CLOSED,Thanksgiving Day
2008-11-29,WEEKEND,Saturday
2008-11-30,WEEKEND,Sunday
2008-12-06,WEEKEND,Saturday
2008-12-07,WEEKEND,Sunday
2008-12-13,WEEKEND,Saturday
2008-12-14,WEEKEND,Sunday
2008-12-20,WEEKEND,Saturday
2008-12-21,WEEKEND,Sunday
2008-12-25,CLOSED,Christmas Day
2008-12-27,WEEKEND,Saturday
2008-12-28,WEEKEND,Sunday
2009-01-01,CLOSED,New Year's Day
2009-01-03,WEEKEND,Saturday
2009-01-04,WEEKEND,Sunday
2009-01-10,WEEKEND,Saturday
2009-01-11,WEEKEND,Sunday
2009-01-17,WEEKEND,Saturday
2009-01-18,WEEKEND,Sunday
2009-01-24,WEEKEND,Saturday
2009-01-25,WEEKEND,Sunday
2009-01-31,WEEKEND,Saturday
2009-02-01,WEEKEND,Sunday
2009-02-07,WEEKEND,Saturday
2009-02-08,WEEKEND,Sunday
2009-02-14,WEEKEND,Saturday
2009-02-15,WEEKEND,Sunday
2009-02-21,WEEKEND,Saturday
2009-02-22,WEEKEND,Sunday
